year,month,sector,nom_ent,trab
1999,3,Construcción,Sinaloa,25858
1999,3,Construcción,Sonora,28315
1999,3,Construcción,Tabasco,19253
1999,3,Construcción,Tamaulipas,38780
1999,3,Construcción,Tlaxcala,3356
1999,3,Construcción,Veracruz,42297
1999,3,Construcción,Yucatan,17859
1999,3,Construcción,Zacatecas,7169
1999,4,Construcción,Aguascalientes,11736
1999,4,Construcción,Baja California,27729
1999,4,Construcción,Baja California Sur,10646
1999,4,Construcción,Campeche,22626
1999,4,Construcción,Chiapas,14783
1999,4,Construcción,Chihuahua,30122
1999,4,Construcción,Ciudad de México,98721
1999,4,Construcción,Coahuila,39090
1999,4,Construcción,Colima,7205
1999,4,Construcción,Durango,9596
1999,4,Construcción,Guanajuato,35009
1999,4,Construcción,Guerrero,13015
1999,4,Construcción,Hidalgo,12979
1999,4,Construcción,Jalisco,60464
1999,4,Construcción,Mexico,48681
1999,4,Construcción,Michoacan,21740
1999,4,Construcción,Morelos,10332
1999,4,Construcción,Nayarit,8750
1999,4,Construcción,Nuevo Leon,85292
1999,4,Construcción,Oaxaca,12027
1999,4,Construcción,Puebla,19890
1999,4,Construcción,Queretaro,19950
1999,4,Construcción,Quintana Roo,22392
1999,4,Construcción,San Luis Potosi,15792
1999,4,Construcción,Sinaloa,25952
1999,4,Construcción,Sonora,28599
1999,4,Construcción,Tabasco,17775
1999,4,Construcción,Tamaulipas,39527
1999,4,Construcción,Tlaxcala,3341
1999,4,Construcción,Veracruz,43966
1999,4,Construcción,Yucatan,17968
1999,4,Construcción,Zacatecas,6963
1999,5,Construcción,Aguascalientes,11614
1999,5,Construcción,Baja California,27848
1999,5,Construcción,Baja California Sur,10450
1999,5,Construcción,Campeche,23008
1999,5,Construcción,Chiapas,14063
1999,5,Construcción,Chihuahua,29609
1999,5,Construcción,Ciudad de México,99313
1999,5,Construcción,Coahuila,38165
1999,5,Construcción,Colima,7507
1999,5,Construcción,Durango,9629
1999,5,Construcción,Guanajuato,35810
1999,5,Construcción,Guerrero,12982
